name,category,sku,price,brand,material,colors,sizes,stock_by_size,image_url,image_file
Áo hoodie unisex,ao,AHD003,520000,UrbanX,N?,Xám;Đen,M;L;XL,M:7|L:9|XL:4,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899405/is207/products/AHD003.png,AHD003.jpg
Áo so mi caro,ao,ASM004,390000,IS207,Kaki,Xanh;Đ?,M;L,M:6|L:8,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899435/is207/products/ASM004.png,ASM004.jpg
Qu?n short th? thao,quan,QST005,220000,SportZ,Polyester,Đen;Xám,S;M;L,S:8|M:10|L:6,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899439/is207/products/QST005.png,QST005.jpg
Áo khoác bomber,ao,AKB006,680000,UrbanX,Dù,Đen;Rêu,M;L;XL,M:4|L:6|XL:3,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899444/is207/products/AKB006.png,AKB006.jpg
Qu?n jogger nam,quan,QJG007,340000,IS207,N?,Xám;Đen,M;L;XL,M:9|L:7|XL:5,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899447/is207/products/QJG007.jpg,QJG007.jpg
Áo polo nam,ao,APL008,280000,Classic,Cotton,Tr?ng;Xanh,S;M;L,S:5|M:10|L:7,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899449/is207/products/APL008.jpg,APL008.jpg
Qu?n kaki dài,quan,QKK009,410000,Classic,Kaki,Kem;Đen,M;L;XL,M:6|L:9|XL:4,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899452/is207/products/QKK009.jpg,qkk009.jpg
Áo len c? l?,ao,ALC010,470000,Winter,Wool,Be;Nâu,M;L,M:5|L:5,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899455/is207/products/ALC010.jpg,ALC010.jpg
Váy hoa n?,vay,VHN011,360000,Femi,Voan,H?ng;Tr?ng,S;M,S:7|M:6,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899458/is207/products/VHN011.jpg,VHN011.jpg
Áo croptop n?,ao,ACT012,190000,Femi,Cotton,Tr?ng;H?ng,S;M,S:9|M:8,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899460/is207/products/ACT012.jpg,ACT012.jpg
Qu?n legging n?,quan,QLG013,210000,SportZ,Thun l?nh,Đen,S;M;L,S:10|M:10|L:8,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899462/is207/products/QLG013.jpg,QLG013.jpg
Áo blazer n?,ao,ABZ014,750000,OfficeX,Tuy?t mua,Đen;Kem,M;L,M:4|L:3,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899464/is207/products/ABZ014.jpg,ABZ014.jpg
Chân váy tennis,vay,CVT015,270000,Femi,Kaki,Tr?ng;Đen,S;M,S:6|M:7,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899467/is207/products/CVT015.jpg,CVT015.jpg
Áo sweater oversize,ao,ASO016,430000,UrbanX,N?,Xám;Tr?ng,M;L;XL,M:8|L:8|XL:4,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899469/is207/products/ASO016.jpg,ASO016.jpg
Qu?n baggy jean,quan,QBJ017,490000,DenimCo,Jean,Xanh nh?t,S;M;L,S:5|M:7|L:6,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899472/is207/products/QBJ017.jpg,QBJ017.jpg
Áo tanktop gym,ao,ATG018,180000,SportZ,Polyester,Đen;Tr?ng,M;L,M:10|L:9,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899474/is207/products/ATG018.jpg,ATG018.jpg
Đ?m công s?,vay,DCS019,620000,OfficeX,L?a,Đen;Xanh navy,S;M;L,S:3|M:5|L:4,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899477/is207/products/DCS019.jpg,DCS019.jpg
Áo cardigan n?,ao,ACD020,390000,Winter,Len,Be;Nâu,M;L,M:6|L:5,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899480/is207/products/ACD020.jpg,ACD020.jpg
Qu?n tây nam,quan,QTN021,530000,Classic,Tuy?t mua,Đen;Xám,M;L;XL,M:5|L:7|XL:4,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899482/is207/products/QTN021.jpg,QTN021.jpg
Áo so mi tr?ng,ao,ASM022,320000,OfficeX,Cotton,Tr?ng,S;M;L,S:8|M:10|L:7,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899484/is207/products/ASM022.jpg,ASM022.jpg
Qu?n short jean n?,quan,QSJ023,260000,DenimCo,Jean,Xanh,S;M,S:6|M:5,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899486/is207/products/QSJ023.jpg,QSJ023.jpg
Áo khoác jean,ao,AKJ024,710000,DenimCo,Jean,Xanh d?m,M;L;XL,M:4|L:6|XL:2,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899488/is207/products/AKJ024.jpg,AKJ024.jpg
Áo thun in h́nh,ao,ATH025,230000,UrbanX,Cotton,Tr?ng;Đen,S;M;L,S:10|M:9|L:8,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899490/is207/products/ATH025.jpg,ATH025.jpg
Qu?n culottes n?,quan,QCL026,350000,Femi,Kaki,Kem;Đen,M;L,M:7|L:6,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899493/is207/products/QCL026.jpg,QCL026.jpg
Áo vest nam,ao,AVN027,980000,Classic,Tuy?t mua,Đen,M;L;XL,M:3|L:4|XL:2,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899495/is207/products/AVN027.jpg,AVN027.jpg
Đ?m maxi di bi?n,vay,DMB028,540000,Femi,Voan,Vàng;Tr?ng,S;M;L,S:4|M:6|L:5,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899497/is207/products/DMB028.jpg,DMB028.jpg
Áo gile len,ao,AGL029,310000,Winter,Len,Nâu;Kem,M;L,M:7|L:6,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899499/is207/products/AGL029.jpg,AGL029.jpg
Qu?n th? thao n?,quan,QTT030,290000,SportZ,Polyester,Đen;H?ng,S;M;L,S:9|M:8|L:7,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899501/is207/products/QTT030.jpg,QTT030.jpg
Áo hoodie zip,ao,AHZ031,550000,UrbanX,N?,Đen;Xám,M;L;XL,M:6|L:8|XL:4,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899503/is207/products/AHZ031.jpg,AHZ031.jpg
Qu?n dùi thun nam,quan,QDT032,150000,SportZ,Cotton,Đen;Xám,S;M;L,S:12|M:15|L:10,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899506/is207/products/QDT032.jpg,QDT032.jpg
Áo so mi c? tr?,ao,ASM033,360000,Classic,Linen,Tr?ng;Xanh nh?t,M;L;XL,M:8|L:7|XL:5,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899507/is207/products/ASM033.jpg,ASM033.jpg
Váy midi x?p ly,vay,VMX034,420000,Femi,L?a,Nâu;Đen,S;M;L,S:5|M:8|L:4,https://res.cloudinary.com/dscuuf3lx/image/upload/v1779899510/is207/products/VMX034.jpg,VMX034.jpg
