name,category,sku,price,brand,material,colors,sizes,stock_by_size,image_url,image_file
Áo hoodie unisex,ao,AHD003,520000,UrbanX,Nỉ,Xám;Đen,M;L;XL,M:7|L:9|XL:4,,AHD003.jpg
Áo so mi caro,ao,ASM004,390000,IS207,Kaki,Xanh;Đỏ,M;L,M:6|L:8,,ASM004.jpg
Quần short thể thao,quan,QST005,220000,SportZ,Polyester,Đen;Xám,S;M;L,S:8|M:10|L:6,,QST005.jpg
Áo khoác bomber,ao,AKB006,680000,UrbanX,Dù,Đen;Rêu,M;L;XL,M:4|L:6|XL:3,,AKB006.jpg
Quần jogger nam,quan,QJG007,340000,IS207,Nỉ,Xám;Đen,M;L;XL,M:9|L:7|XL:5,,QJG007.jpg
Áo polo nam,ao,APL008,280000,Classic,Cotton,Trắng;Xanh,S;M;L,S:5|M:10|L:7,,APL008.jpg
Quần kaki dài,quan,QKK009,410000,Classic,Kaki,Kem;Đen,M;L;XL,M:6|L:9|XL:4,,qkk009.jpg
Áo len cổ lọ,ao,ALC010,470000,Winter,Wool,Be;Nâu,M;L,M:5|L:5,,ALC010.jpg
Váy hoa nữ,vay,VHN011,360000,Femi,Voan,Hồng;Trắng,S;M,S:7|M:6,,VHN011.jpg
Áo croptop nữ,ao,ACT012,190000,Femi,Cotton,Trắng;Hồng,S;M,S:9|M:8,,ACT012.jpg
Quần legging nữ,quan,QLG013,210000,SportZ,Thun lạnh,Đen,S;M;L,S:10|M:10|L:8,,QLG013.jpg
Áo blazer nữ,ao,ABZ014,750000,OfficeX,Tuyết mua,Đen;Kem,M;L,M:4|L:3,,ABZ014.jpg
Chân váy tennis,vay,CVT015,270000,Femi,Kaki,Trắng;Đen,S;M,S:6|M:7,,CVT015.jpg
Áo sweater oversize,ao,ASO016,430000,UrbanX,Nỉ,Xám;Trắng,M;L;XL,M:8|L:8|XL:4,,ASO016.jpg
Quần baggy jean,quan,QBJ017,490000,DenimCo,Jean,Xanh nhạt,S;M;L,S:5|M:7|L:6,,QBJ017.jpg
Áo tanktop gym,ao,ATG018,180000,SportZ,Polyester,Đen;Trắng,M;L,M:10|L:9,,ATG018.jpg
Đầm công sở,vay,DCS019,620000,OfficeX,Lụa,Đen;Xanh navy,S;M;L,S:3|M:5|L:4,,DCS019.jpg
Áo cardigan nữ,ao,ACD020,390000,Winter,Len,Be;Nâu,M;L,M:6|L:5,,ACD020.jpg
Quần tây nam,quan,QTN021,530000,Classic,Tuyết mua,Đen;Xám,M;L;XL,M:5|L:7|XL:4,,QTN021.jpg
Áo so mi trắng,ao,ASM022,320000,OfficeX,Cotton,Trắng,S;M;L,S:8|M:10|L:7,,ASM022.jpg
Quần short jean nữ,quan,QSJ023,260000,DenimCo,Jean,Xanh,S;M,S:6|M:5,,QSJ023.jpg
Áo khoác jean,ao,AKJ024,710000,DenimCo,Jean,Xanh đậm,M;L;XL,M:4|L:6|XL:2,,AKJ024.jpg
Áo thun in hình,ao,ATH025,230000,UrbanX,Cotton,Trắng;Đen,S;M;L,S:10|M:9|L:8,,ATH025.jpg
Quần culottes nữ,quan,QCL026,350000,Femi,Kaki,Kem;Đen,M;L,M:7|L:6,,QCL026.jpg
Áo vest nam,ao,AVN027,980000,Classic,Tuyết mua,Đen,M;L;XL,M:3|L:4|XL:2,,AVN027.jpg
Đầm maxi đi biển,vay,DMB028,540000,Femi,Voan,Vàng;Trắng,S;M;L,S:4|M:6|L:5,,DMB028.jpg
Áo gile len,ao,AGL029,310000,Winter,Len,Nâu;Kem,M;L,M:7|L:6,,AGL029.jpg
Quần thể thao nữ,quan,QTT030,290000,SportZ,Polyester,Đen;Hồng,S;M;L,S:9|M:8|L:7,,QTT030.jpg
Áo hoodie zip,ao,AHZ031,550000,UrbanX,Nỉ,Đen;Xám,M;L;XL,M:6|L:8|XL:4,,AHZ031.jpg
Quần dùi thun nam,quan,QDT032,150000,SportZ,Cotton,Đen;Xám,S;M;L,S:12|M:15|L:10,,QDT032.jpg
Áo so mi cổ trụ,ao,ASM033,360000,Classic,Linen,Trắng;Xanh nhạt,M;L;XL,M:8|L:7|XL:5,,ASM033.jpg
Váy midi xếp ly,vay,VMX034,420000,Femi,Lụa,Nâu;Đen,S;M;L,S:5|M:8|L:4,,VMX034.jpg
Áo khoác gió thể thao,ao,AKG035,480000,SportZ,Dù,Xanh duong;Đen,M;L;XL,M:10|L:8|XL:5,,AKG035.jpg
Quần jean rách nam,quan,QJR036,490000,DenimCo,Jean,Xanh bạc,S;M;L;XL,S:4|M:9|L:8|XL:3,,QJR036.jpg
